"";"ID";"Host.Since";"City";"Neighbourhood.Group.Cleansed";"Latitude";"Longitude";"Zipcode";"Property.Type";"Room.Type";"Accommodates";"Bathrooms";"Bedrooms";"Beds";"Number.of.Reviews";"Review.Scores.Rating";"Reviews.per.Month";"Cancellation.Policy";"precio.total";"precio_m2_2017";"Wireless.Internet";"Kitchen";"Heating";"Essentials";"Washer";"TV";"Elevator.in.building";"Family.kid.friendly";"Iron";"Hair.dryer";"Air.conditioning";"Laptop.friendly.workspace";"Smoke.detector";"Wheelchair.accessible";"Lock.on.bedroom.door";"Free.parking.on.premises"
"8977";3861234;"8/5/14";"Madrid";"Centro";40,4127335099491;-3,7058329554653;28013;"Apartment";"Private room";2;1;1;1;2;100;0,1;"strict";40;3564;0;0;0;1;0;1;1;1;1;1;1;0;1;1;0;1
"8978";686041;"8/9/12";"Madrid";"Hortaleza";40,4912867482908;-3,64937387457699;28043;"Bed & Breakfast";"Private room";2;2;1;1;4;100;0,17;"moderate";40;2563;0;0;0;1;0;0;0;0;1;1;0;1;1;0;1;0
"8979";13787946;"14/9/15";"Madrid";"Centro";40,4109731815504;-3,70519345528933;28013;"Apartment";"Private room";3;1,5;1;2;29;89;3,55;"strict";40;3564;0;0;1;0;0;0;1;1;0;1;1;0;1;1;1;1
"8980";17309640;"17/2/17";"Madrid";"Centro";40,4072774804858;-3,7042301692446;28013;"Apartment";"Private room";2;1;1;1;0;91,6317014057198;1,92662515566625;"flexible";40;3564;0;0;0;0;0;0;1;0;0;1;0;1;0;1;1;1
"8981";728098;"19/11/11";"Madrid";"Centro";40,4239442880708;-3,70315411571158;28013;"Apartment";"Private room";2;1;1;2;5;100;0,09;"flexible";40;3564;0;0;0;1;0;0;1;0;1;1;0;1;1;1;1;1
"8982";1140757;"6/5/13";"Madrid";"Centro";40,4211555518952;-3,70438820314644;28013;"Apartment";"Private room";2;1;1;1;79;93;1,66;"moderate";40;3564;0;0;0;1;0;0;1;1;1;1;0;1;1;1;1;1
"8983";13534487;"13/8/13";"Madrid";"Centro";40,420443892427;-3,69888011445934;28013;"Apartment";"Private room";4;4,5;1;2;17;98;1,82;"strict";40;3564;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1
"8984";3811675;"8/5/14";"Madrid";"Centro";40,4237408876166;-3,70002613573636;28013;"Apartment";"Private room";1;3;1;1;1;80;0,04;"strict";40;3564;0;0;0;1;0;1;0;1;1;1;1;1;1;1;1;1
"8985";17155578;"9/4/15";"Madrid";"Centro";40,4226288704554;-3,69738174730007;28013;"Apartment";"Private room";2;1;1;1;0;91,6317014057198;1,92662515566625;"flexible";40;3564;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;1
"8986";1847117;"12/8/13";"Madrid";"Retiro";40,4207114753456;-3,67283212582414;28007;"Apartment";"Private room";2;1;1;1;10;89;0,65;"flexible";40;3404;0;0;0;1;0;0;0;1;1;1;0;1;1;1;1;1
"8987";16133446;"3/10/15";"Madrid";"Centro";40,4236372721882;-3,69924650985851;28013;"Apartment";"Private room";2;2;1;1;33;96;8,84;"strict";40;3564;0;0;0;0;0;1;0;0;1;0;1;0;1;1;1;1
"8988";3810142;"8/5/14";"Madrid";"Centro";40,4230025019147;-3,70030288234993;28013;"Apartment";"Private room";2;3;1;1;0;91,6317014057198;1,92662515566625;"strict";40;3564;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1
"8989";3811101;"8/5/14";"Madrid";"Centro";40,4219515536093;-3,70016599584725;28013;"Apartment";"Private room";2;3;1;1;0;91,6317014057198;1,92662515566625;"strict";40;3564;0;0;0;1;0;1;0;1;1;1;1;1;1;1;1;1
