ID;Host.Since;Neighbourhood.Group.Cleansed;City;Latitude;Longitude;Zipcode;Property.Type;Room.Type;Accommodates;Bathrooms;Bedrooms;Beds;Number.of.Reviews;Review.Scores.Rating;Reviews.per.Month;Cancellation.Policy;precio.total;Prom.Price.m2.2017;Wireless Internet;Kitchen;Heating;Essentials;Washer;TV;Elevator in building;Family/kid friendly;Iron;Hair dryer;Air conditioning;Laptop friendly workspace;Smoke detector;Wheelchair accessible;Lock on bedroom door;Free parking on premises
5438029;20/02/2015;Centro;Madrid;"40,41639901";"-3,699833629";28014;Apartment;Entire home/apt;4;2;3;3;22;94;"0,92";strict;1020;3564;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
11343804;11/11/2014;Centro;Madrid;"40,41989194";"-3,708748981";28013;Apartment;Entire home/apt;11;4;6;9;55;100;"4,23";moderate;1020;3564;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
16168845;23/09/2016;Chamartín;Madrid;"40,44927048";"-3,680100478";28002;Apartment;Entire home/apt;3;1;1;1;0;"91,60293384";"1,935054739";strict;1017;3663;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
8424079;16/09/2015;Hortaleza;Madrid;"40,45868899";"-3,652174629";28043;House;Entire home/apt;10;"3,5";4;5;1;80;"0,11";strict;1000;2563;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE
15142018;04/10/2013;Salamanca;Madrid;"40,42757548";"-3,688648553";28001;Apartment;Entire home/apt;8;"3,5";4;5;1;100;"0,36";strict;1000;3935;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
712082;20/06/2012;Centro;Madrid;"40,41869732";"-3,707657457";28013;Apartment;Entire home/apt;6;2;3;4;12;98;"0,53";strict;1000;3564;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
10595868;14/01/2016;Chamberí;Madrid;"40,42888951";"-3,69725514";28004;Loft;Entire home/apt;13;4;5;9;27;83;"2,03";moderate;990;3863;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
14172868;27/03/2014;Centro;Madrid;"40,42713755";"-3,705664506";28015;Apartment;Entire home/apt;3;1;1;3;0;"91,60293384";"1,935054739";flexible;980;3564;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
9450274;02/08/2015;Salamanca;Madrid;"40,42584476";"-3,679210683";28001;Apartment;Entire home/apt;6;2;3;3;2;"91,60293384";"0,17";strict;980;3935;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
9292954;22/03/2013;Chamberí;Madrid;"40,4438841";"-3,703901841";28003;Apartment;Entire home/apt;3;1;2;2;7;91;"0,45";strict;971;3863;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
